Attr1;Attr2;Attr3;Attr4;Attr5;Attr6;Attr7;Attr8;Attr9;Attr10;Attr11;Attr12;Attr13;Attr14;Attr15;Attr16;Attr17;Attr18;Attr19;Attr20;Attr21;Attr22;Attr23;Attr24;Attr25;Attr26;Attr27;Attr28;Attr29;Attr30;Attr31;Attr32;Attr33;Attr34;Attr35;Attr36;Attr37;Attr38;Attr39;Attr40;Attr41;Attr42;Attr43;Attr44;Attr45;Attr46;Attr47;Attr48;Attr49;Attr50;Attr51;Attr52;Attr53;Attr54;Attr55;Attr56;Attr57;Attr58;Attr59;Attr60;Attr61;Attr62;Attr63;Attr64;class;;Ratio de solvencia;Inmovilizado(>1 ok);ROE;Ratio Beaveur;A;B;C;D;E;RATIO ALTMAN
0,20055;0,37951;0,39641;20,472;32,351;0,38825;0,24976;13,305;11,389;0,50494;0,24976;0,6598;0,1666;0,24976;497,42;0,73378;26,349;0,24976;0,14942;43,37;12,479;0,21402;0,11998;0,47706;0,50494;0,60411;14,582;17,615;59,443;0,11788;0,14942;94,14;38,772;0,56393;0,21402;1,741;593,27;0,50591;0,12804;0,66295;0,051402;0,12804;114,42;71,05;10,097;15,225;49,394;0,1853;0,11085;2,042;0,37854;0,25792;22,437;2,248;348690;0,12196;0,39718;0,87804;0,001924;8,416;51,372;82,658;44,158;74,277;0;;26,349;2,248;10,097;0,73378;0,39641;0,20055;0,24976;0,50494;11,389;13,272634
0,20912;0,49988;0,47225;19,447;14,786;0;0,25834;0,99601;16,996;0,49788;0,26114;0,5168;0,15835;0,25834;677,96;0,53838;20,005;0,25834;0,152;87,981;14,293;0,24806;0,12304;?;0,39542;0,43992;88,444;16,946;36,884;0,26969;0,152;122,17;29,876;29,876;0,20616;16,996;?;0,49788;0,1213;0,086422;0,064371;0,14595;199,49;111,51;0,51045;11,252;100,13;0,23727;0,13961;19,447;0,49988;0,33472;17,866;17,866;2304,6;0,1213;0,42002;0,853;0;41,486;32,732;107,35;3,4;60,987;0;;20,005;17,866;0,51045;0,53838;0,47225;0,20912;0,25834;0,49788;16,996;19,006718
0,24866;0,69592;0,26713;15,548;-11,523;0;0,30906;0,43695;1,309;0,30408;0,31258;0,64184;0,24435;0,30906;794,16;0,45961;14,369;0,30906;0,2361;73,133;14,283;0,3026;0,18996;?;0,28932;0,37282;86,011;10,627;43,749;0,41929;0,23815;176,93;2,063;14,274;0,31565;1,309;23,019;0,51537;0,24114;0,32202;0,07402;0,23117;165,51;92,381;0,94807;10,101;96,372;0,29181;0,22293;10,758;0,48152;0,48474;12,098;20,504;6332,7;0,24114;0,81774;0,76599;0,69484;49,909;3,951;134,27;27,185;52,078;0;;14,369;20,504;0,94807;0,45961;0,26713;0,24866;0,30906;0,30408;1,309;3,180026
0,081483;0,30734;0,45879;24,928;51,952;0,14988;0,092704;18,661;10,571;0,57353;0,092704;0,30163;0,094257;0,092704;917,01;0,39803;32,537;0,092704;0,071428;79,788;15,069;0,1155;0,062782;0,17193;0,57353;0,36152;0,94076;19,618;46,511;0,14343;0,071428;91,37;39,948;0,37581;0,1155;13,562;?;0,57353;0,088995;0,40139;0,069622;0,088995;180,77;100,98;0,2872;15,696;84,344;0,085874;0,066165;24,928;0,30734;0,25033;24,524;24,524;20545;0,054015;0,14207;0,94598;0;45,746;36,147;86,435;42,228;55,497;0;;32,537;24,524;0,2872;0,39803;0,45879;0,081483;0,092704;0,57353;10,571;11,8856654
0,18732;0,61323;0,2296;14,063;-73,128;0,18732;0,18732;0,6307;11,559;0,38677;0,18732;0,33147;0,12182;0,18732;1133,2;0,32211;16,307;0,18732;0,11553;57,045;?;0,19832;0,11553;0,18732;0,38677;0,32211;14,138;11,184;41,424;0,27884;0,11553;147,04;24,823;0,3234;0,19832;16,278;11,247;0,43489;0,12231;0,29304;0,09668;0,12231;141,62;84,574;0,73919;0,95787;65,936;0,18811;0,11601;12,959;0,56511;0,40285;18,839;21,184;3186,6;0,13485;0,48431;0,86515;0,12444;63,985;43,158;127,21;28,692;7,898;0;;16,307;21,184;0,73919;0,32211;0,2296;0,18732;0,18732;0,38677;11,559;12,946986
0,22822;0,49794;0,35969;17,502;-47,717;0;0,28139;10,083;19,786;0,50206;0,28645;0,58691;0,14812;0,28139;620,14;0,58858;20,083;0,28139;0,14222;107,26;17,278;0,28104;0,11535;?;0,4997;0,48181;55,511;22,359;43,258;0,23382;0,14449;102,76;35,519;3,42;0,27566;19,786;22,312;0,51361;0,13932;0,078634;0,056701;0,14204;147,84;40,578;0,3925;0,53744;124,63;0,26935;0,13613;16,852;0,47944;0,28154;31,209;31,927;7616,8;0,13932;0,45457;0,85891;0,023002;34,028;89,949;88,444;41,269;12,299;0;;20,083;31,927;0,3925;0,58858;0,35969;0,22822;0,28139;0,50206;19,786;21,766959
0,11109;0,64744;0,28971;14,705;25,349;0;0,11109;0,54454;17,348;0,35256;0,12575;0,18041;0,30963;0,11109;439,94;0,82965;15,445;0,11109;0,064036;57,733;0,56811;0;0,064036;?;0,31469;0,82965;0;30,648;3,677;0,36088;0,14223;328,73;11,103;1,056;0,024982;17,348;?;0,35256;0,0144;0,056647;0,050653;0;183,17;125,44;0,40485;10,249;146,49;-0,42606;-0,2456;13,985;0,61576;0,90064;37,297;37,297;1377,1;0,6059;0,3151;0,40871;0;63,222;29,098;129,55;28,173;18,352;0;;15,445;37,297;0,40485;0,82965;0,28971;0,11109;0,11109;0,35256;17,348;18,429311
0,53232;0,027059;0,70554;53,954;299,58;0;0,6524;35,957;0,65273;0,97294;0,69394;48,966;10,602;0,6524;14,272;25,575;36,957;0,6524;0,99949;39,978;?;0,67129;0,81553;?;0,9698;21,137;16,158;25,096;42,428;-0,67625;10,003;81,579;44,742;22,031;0,056612;0,65273;50,43;0,98578;0,08673;47,991;0,001269;10,284;44,426;44,485;74,458;48,588;43,774;0,63166;0,96772;26,567;0,013323;0,02235;34,607;35,064;12341;0,08673;0,54713;0,49521;0,013194;9,13;82,05;74,503;48,991;23,217;0;;36,957;35,064;74,458;25575;0,70554;0,53232;0,6524;0,97294;0,65273;4,98131
0,00902;0,63202;0,053735;11,263;-37,842;0;0,014434;0,58223;13,332;0,36798;0,043162;0,033921;0,038938;0,014434;4443,7;0,082138;15,822;0,014434;0,010827;36,623;10,752;0,030778;0,006766;0,000222;0,34828;0,073572;10,714;0,10319;59,479;0,47405;0,010827;142,09;26,284;17,697;0,24013;13,332;27,538;0,49344;0,18011;0,072677;0,30865;0,023085;122,74;86,122;0,06743;0,81192;43,654;-0,006701;-0,005026;0,75832;0,42554;0,38046;0,70666;0,9476;11,263;0,18011;0,024512;0,84165;0,34094;99,665;42,382;116,5;3,133;25,603;0;;15,822;0,9476;0,06743;0,082138;0,053735;0,00902;0,014434;0,36798;13,332;13,6775302
0,12408;0,83837;0,14204;11,694;-91,883;0;0,15328;0,19279;21,156;0,16163;0,18454;0,18284;0,075411;0,15328;1918,1;0,1903;11,928;0,15328;0,072451;109,97;15,866;0,15819;0,058651;?;0,15445;0,15547;50,592;72,291;3,843;0,38803;0,077401;157,15;23,226;23,224;0,16854;21,156;?;0,16163;0,079665;0,020833;0,16994;0,074772;166,13;56,159;0,19467;0,40912;119,49;0,15192;0,071812;11,694;0,83831;0,43056;8,226;8,226;989,41;0,079665;0,76768;0,92847;0;33,192;64,994;144,63;25,236;107,67;0;;11,928;8,226;0,19467;0,1903;0,14204;0,12408;0,15328;0,16163;21,156;22,102962
